out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_009733575.1_Gyman1	GCA_009733575.1_Gyman1	Gymnopus androsaceus	JB14	F394BE1D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_009733575.1_Gyman1.fa.gz
GCA_055862425.1_ASM5586242v1	GCA_055862425.1_ASM5586242v1	Gymnopus earleae	GB-263.02	F2513BF3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_055862425.1_ASM5586242v1.fa.gz
GCA_045281475.1_ASM4528147v1	GCA_045281475.1_ASM4528147v1	Gyoerffyella rotula	DSM 103267	F8E2A55D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_045281475.1_ASM4528147v1.fa.gz
GCA_964255185.1_private_VT34_metabat2_bin.11	GCA_964255185.1_private_VT34_metabat2_bin.11	Gypsoplaca macrophylla		FEB0FF55	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_964255185.1_private_VT34_metabat2_bin.11.fa.gz
GCA_014904945.1_Gyrli1	GCA_014904945.1_Gyrli1	Gyrodon lividus	BX	FA445580	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_014904945.1_Gyrli1.fa.gz
GCA_038092445.1_MICH10060-Boletus-tennesseensis	GCA_038092445.1_MICH10060-Boletus-tennesseensis	Gyrodon tennesseensis	MICH10060	FF99F81C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038092445.1_MICH10060-Boletus-tennesseensis.fa.gz
GCA_040803335.1_ASM4080333v1	GCA_040803335.1_ASM4080333v1	Gyromitra antarctica	FLAS-F-63725	F66995C1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803335.1_ASM4080333v1.fa.gz
GCA_040803815.1_ASM4080381v1	GCA_040803815.1_ASM4080381v1	Gyromitra antarctica	FLAS-F-65994	F74528AB	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803815.1_ASM4080381v1.fa.gz
GCA_038503075.1_ASM3850307v1	GCA_038503075.1_ASM3850307v1	Gyromitra esculenta	21701	F1EA517E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_038503075.1_ASM3850307v1.fa.gz
GCA_040803505.1_ASM4080350v1	GCA_040803505.1_ASM4080350v1	Gyromitra recurva	ACD0538	FD054B29	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803505.1_ASM4080350v1.fa.gz
GCA_040802385.1_ASM4080238v1	GCA_040802385.1_ASM4080238v1	Gyromitra sp. 13 AD-2024	MICH346255	F0820830	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040802385.1_ASM4080238v1.fa.gz
GCA_040803605.1_ASM4080360v1	GCA_040803605.1_ASM4080360v1	Gyromitra sp. 2 AD-2023	ACD0484	F401AB16	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803605.1_ASM4080360v1.fa.gz
GCA_040803515.1_ASM4080351v1	GCA_040803515.1_ASM4080351v1	Gyromitra sp. 3 AD-2023	ACD0548	FCA2B3E3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803515.1_ASM4080351v1.fa.gz
GCA_040803585.1_ASM4080358v1	GCA_040803585.1_ASM4080358v1	Gyromitra sp. 4 AD-2023	ACD0514	F78F84DB	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803585.1_ASM4080358v1.fa.gz
GCA_040803535.1_ASM4080353v1	GCA_040803535.1_ASM4080353v1	Gyromitra sp. 6 AD-2023	ACD0520	F4377E37	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803535.1_ASM4080353v1.fa.gz
GCA_040802425.1_ASM4080242v1	GCA_040802425.1_ASM4080242v1	Gyromitra sp. 6 AD-2023	ARIZ-AN044228	F23D2203	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040802425.1_ASM4080242v1.fa.gz
GCA_040803805.1_ASM4080380v1	GCA_040803805.1_ASM4080380v1	Gyromitra sp. 6 AD-2023	MICH4614	F750EFB2	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803805.1_ASM4080380v1.fa.gz
GCA_040803355.1_ASM4080335v1	GCA_040803355.1_ASM4080335v1	Gyromitra sp. 8 AD-2023	MICH4601	F9B31F1B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803355.1_ASM4080335v1.fa.gz
GCA_040802435.1_ASM4080243v1	GCA_040802435.1_ASM4080243v1	Gyromitra sp. 9 AD-2023	FLAS-F-63292	FF70180B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040802435.1_ASM4080243v1.fa.gz
GCA_040803905.1_ASM4080390v1	GCA_040803905.1_ASM4080390v1	Gyromitra sp. 9 AD-2023	MICH352091	FEC8FBA9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803905.1_ASM4080390v1.fa.gz
GCA_040802825.1_ASM4080282v1	GCA_040802825.1_ASM4080282v1	Gyromitra sp. persicula	MICH346493	F1BED1D7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040802825.1_ASM4080282v1.fa.gz
GCA_040804005.1_ASM4080400v1	GCA_040804005.1_ASM4080400v1	Gyromitra splendida	MICH25554	F1C12F3B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040804005.1_ASM4080400v1.fa.gz
GCA_040802885.1_ASM4080288v1	GCA_040802885.1_ASM4080288v1	Gyromitra splendida	MICH346243	F9E3374B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040802885.1_ASM4080288v1.fa.gz
GCA_040803985.1_ASM4080398v1	GCA_040803985.1_ASM4080398v1	Gyromitra splendida	MICH352089	FBA535DF	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803985.1_ASM4080398v1.fa.gz
GCA_040803485.1_ASM4080348v1	GCA_040803485.1_ASM4080348v1	Gyromitra venenata	ACD0556	FC634132	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803485.1_ASM4080348v1.fa.gz
GCA_040803035.1_ASM4080303v1	GCA_040803035.1_ASM4080303v1	Gyromitra venenata	ACD0596	FB9AAE7D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803035.1_ASM4080303v1.fa.gz
GCA_040804095.1_ASM4080409v1	GCA_040804095.1_ASM4080409v1	Gyromitra venenata	MICH352032	F4DD30CC	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040804095.1_ASM4080409v1.fa.gz
GCA_040803625.1_ASM4080362v1	GCA_040803625.1_ASM4080362v1	Gyromitra venenata	MICH352070	F8ED5468	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040803625.1_ASM4080362v1.fa.gz
GCA_965784085.1_gfGyrCasa2.hap2.1	GCA_965784085.1_gfGyrCasa2.hap2.1	Gyroporus aff. castaneus		FA4802B0	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_965784085.1_gfGyrCasa2.hap2.1.fa.gz
GCA_030705145.1_ASM3070514v1	GCA_030705145.1_ASM3070514v1	Hagleromyces aurorensis	CBS 13264	F1208959	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030705145.1_ASM3070514v1.fa.gz
GCA_020726485.1_Zalva1	GCA_020726485.1_Zalva1	Halenospora varia	MPI-CAGE-AT-0135	F207BBFB	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_020726485.1_Zalva1.fa.gz
GCA_051942025.1_KEW_Hasp1	GCA_051942025.1_KEW_Hasp1	Haloplaca sp. 1 TL-2023	LIQ224CACE	FB786DEF	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_051942025.1_KEW_Hasp1.fa.gz
GCA_051941845.1_KEW_Hasp2	GCA_051941845.1_KEW_Hasp2	Haloplaca sp. 2 TL-2023	LIQ235IKAU	FEBA0817	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_051941845.1_KEW_Hasp2.fa.gz
GCF_025201355.1_Halrad1	GCF_025201355.1_Halrad1	Halteromyces radiatus	CBS 162.75	FA3CC5B2	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_025201355.1_Halrad1.fa.gz
GCA_027569715.1_ASM2756971v1	GCA_027569715.1_ASM2756971v1	Hamigera avellanea	NRRL 1938	F4F6B3D4	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_027569715.1_ASM2756971v1.fa.gz
GCA_030567235.1_ASM3056723v1	GCA_030567235.1_ASM3056723v1	Hanseniaspora clermontiae	NRRL Y-27515	F57BFD6C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030567235.1_ASM3056723v1.fa.gz
GCA_003020785.1_Hgam_CRUB1928T_v1	GCA_003020785.1_Hgam_CRUB1928T_v1	Hanseniaspora gamundiae	CRUB 1928	F3C24ED5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003020785.1_Hgam_CRUB1928T_v1.fa.gz
GCA_050947605.1_ASM5094760v1	GCA_050947605.1_ASM5094760v1	Hanseniaspora guilliermondii	AWRI5769_F8	FAF358A7	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050947605.1_ASM5094760v1.fa.gz
GCA_036287555.1_ASM3628755v1	GCA_036287555.1_ASM3628755v1	Hanseniaspora guilliermondii	CBS 18551	FC443F93	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_036287555.1_ASM3628755v1.fa.gz
GCA_004919775.1_ASM491977v1	GCA_004919775.1_ASM491977v1	Hanseniaspora guilliermondii	NRRL Y-1625	F7D32C66	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919775.1_ASM491977v1.fa.gz
GCA_900119595.1_version_1	GCA_900119595.1_version_1	Hanseniaspora guilliermondii	UTAD222	F069F7ED	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_900119595.1_version_1.fa.gz
GCA_030573555.1_ASM3057355v1	GCA_030573555.1_ASM3057355v1	Hanseniaspora hatyaiensis	ZIM 2327	F87B62DE	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573555.1_ASM3057355v1.fa.gz
GCA_003708765.1_ASM370876v1	GCA_003708765.1_ASM370876v1	Hanseniaspora hatyaiensis	ZIM2327 Neza Cadez	F096C700	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003708765.1_ASM370876v1.fa.gz
GCA_030573515.1_ASM3057351v1	GCA_030573515.1_ASM3057351v1	Hanseniaspora jakobsenii	ZIM 2603	F175D51D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573515.1_ASM3057351v1.fa.gz
GCA_030567275.1_ASM3056727v1	GCA_030567275.1_ASM3056727v1	Hanseniaspora lachancei	NRRL Y-27514	F3555087	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030567275.1_ASM3056727v1.fa.gz
GCA_019649525.1_ASM1964952v1	GCA_019649525.1_ASM1964952v1	Hanseniaspora lindneri	CBS 285	FA116D3E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019649525.1_ASM1964952v1.fa.gz
GCA_030569975.1_ASM3056997v1	GCA_030569975.1_ASM3056997v1	Hanseniaspora lindneri	NRRL Y-17531	F29D8C40	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030569975.1_ASM3056997v1.fa.gz
GCA_040256855.1_ASM4025685v1	GCA_040256855.1_ASM4025685v1	Hanseniaspora menglaensis	CBS 16921	FC32F639	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_040256855.1_ASM4025685v1.fa.gz
GCA_030370665.1_ASM3037066v1	GCA_030370665.1_ASM3037066v1	Hanseniaspora meyeri	APC 12.1	FCED5099	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030370665.1_ASM3037066v1.fa.gz
GCA_004919825.1_ASM491982v1	GCA_004919825.1_ASM491982v1	Hanseniaspora meyeri	NRRL Y-27513	F5FD3364	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919825.1_ASM491982v1.fa.gz
GCA_019649515.1_ASM1964951v1	GCA_019649515.1_ASM1964951v1	Hanseniaspora mollemarum	CBS 15034	FD7B328A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_019649515.1_ASM1964951v1.fa.gz
GCA_042466605.1_ASM4246660v1	GCA_042466605.1_ASM4246660v1	Hanseniaspora mollemarum	CBS 18055	F1A15F45	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_042466605.1_ASM4246660v1.fa.gz
GCA_030573495.1_ASM3057349v1	GCA_030573495.1_ASM3057349v1	Hanseniaspora nectarophila	CBS 13383	FC92353E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573495.1_ASM3057349v1.fa.gz
GCA_004919885.1_ASM491988v1	GCA_004919885.1_ASM491988v1	Hanseniaspora occidentalis	CBS 6783	F49FA390	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919885.1_ASM491988v1.fa.gz
GCA_050230685.1_HoccT2T	GCA_050230685.1_HoccT2T	Hanseniaspora occidentalis	NRRL Y-7946	FB5E12E1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050230685.1_HoccT2T.fa.gz
GCA_937859215.1_SRR3017090_bin.8_CONCOCT_v1.1_MAG	GCA_937859215.1_SRR3017090_bin.8_CONCOCT_v1.1_MAG	Hanseniaspora opuntiae		F014D35B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_937859215.1_SRR3017090_bin.8_CONCOCT_v1.1_MAG.fa.gz
GCA_001749795.1_ASM174979v1	GCA_001749795.1_ASM174979v1	Hanseniaspora opuntiae	AWRI3578	F17DCDB5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001749795.1_ASM174979v1.fa.gz
GCA_050947625.1_ASM5094762v1	GCA_050947625.1_ASM5094762v1	Hanseniaspora opuntiae	AWRI5769_E9	FE20C122	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050947625.1_ASM5094762v1.fa.gz
GCA_030567335.1_ASM3056733v1	GCA_030567335.1_ASM3056733v1	Hanseniaspora opuntiae	NRRL Y-27512T	FF10C58A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030567335.1_ASM3056733v1.fa.gz
GCA_937836975.1_SRR3017098_bin.23_CONCOCT_v1.1_MAG	GCA_937836975.1_SRR3017098_bin.23_CONCOCT_v1.1_MAG	Hanseniaspora osmophila		FE5B2673	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_937836975.1_SRR3017098_bin.23_CONCOCT_v1.1_MAG.fa.gz
GCA_001747045.1_ASM174704v1	GCA_001747045.1_ASM174704v1	Hanseniaspora osmophila	AWRI3579	F3BCA519	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001747045.1_ASM174704v1.fa.gz
GCA_050947655.1_ASM5094765v1	GCA_050947655.1_ASM5094765v1	Hanseniaspora osmophila	AWRI865	F4069834	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050947655.1_ASM5094765v1.fa.gz
GCA_003707715.2_ASM370771v2	GCA_003707715.2_ASM370771v2	Hanseniaspora osmophila	NRRL Y-1613	FFCEA9A4	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003707715.2_ASM370771v2.fa.gz
GCA_030573455.1_ASM3057345v1	GCA_030573455.1_ASM3057345v1	Hanseniaspora pseudoguilliermondii	CBS 8772	F7A01D0B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573455.1_ASM3057345v1.fa.gz
GCA_037041795.1_ASM3704179v1	GCA_037041795.1_ASM3704179v1	Hanseniaspora pseudoguilliermondii	R5919	FEBCD891	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037041795.1_ASM3704179v1.fa.gz
GCA_003708335.1_ASM370833v1	GCA_003708335.1_ASM370833v1	Hanseniaspora pseudoguilliermondii	ZIM213 Neza Cadez	FE5B9200	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003708335.1_ASM370833v1.fa.gz
GCA_030565715.1_ASM3056571v1	GCA_030565715.1_ASM3056571v1	Hanseniaspora singularis	NRRL Y-63757	F145DDD6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030565715.1_ASM3056571v1.fa.gz
GCA_003708365.1_ASM370836v1	GCA_003708365.1_ASM370836v1	Hanseniaspora singularis	ZIM2326 Neza Cadez	F8A806A2	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003708365.1_ASM370836v1.fa.gz
GCA_004919795.1_ASM491979v1	GCA_004919795.1_ASM491979v1	Hanseniaspora sp. CRUB 1602	CRUB 1602	F40A142C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919795.1_ASM491979v1.fa.gz
GCA_030573575.1_ASM3057357v1	GCA_030573575.1_ASM3057357v1	Hanseniaspora sp. CRUB 1602	CRUB 1602	FCC4DCF0	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573575.1_ASM3057357v1.fa.gz
GCA_054658755.1_Hdr_assembly01	GCA_054658755.1_Hdr_assembly01	Hanseniaspora sp. JCM 36741	JCM 36741	F325ED54	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_054658755.1_Hdr_assembly01.fa.gz
GCA_030580555.1_ASM3058055v1	GCA_030580555.1_ASM3058055v1	Hanseniaspora taiwanica	CBS 11434	FEC71FA8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030580555.1_ASM3058055v1.fa.gz
GCA_037041975.1_ASM3704197v1	GCA_037041975.1_ASM3704197v1	Hanseniaspora thailandica	R80-11	F0A7F7F1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037041975.1_ASM3704197v1.fa.gz
GCA_004919915.1_ASM491991v1	GCA_004919915.1_ASM491991v1	Hanseniaspora thailandica	ZIM 2325	FA1813DF	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919915.1_ASM491991v1.fa.gz
GCA_030573475.1_ASM3057347v1	GCA_030573475.1_ASM3057347v1	Hanseniaspora thailandica	ZIM 2325	FF49ECD3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030573475.1_ASM3057347v1.fa.gz
GCA_937857875.1_SRR3017095_bin.66_CONCOCT_v1.1_MAG	GCA_937857875.1_SRR3017095_bin.66_CONCOCT_v1.1_MAG	Hanseniaspora uvarum		F66739F5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_937857875.1_SRR3017095_bin.66_CONCOCT_v1.1_MAG.fa.gz
GCA_000775265.3_ASM77526v3	GCA_000775265.3_ASM77526v3	Hanseniaspora uvarum	34-9	FB366A8B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000775265.3_ASM77526v3.fa.gz
GCA_001747055.1_ASM174705v1	GCA_001747055.1_ASM174705v1	Hanseniaspora uvarum	AWRI3580	F4D3588B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001747055.1_ASM174705v1.fa.gz
GCA_002894425.1_ASM289442v1	GCA_002894425.1_ASM289442v1	Hanseniaspora uvarum	AWRI3581	F474CD06	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_002894425.1_ASM289442v1.fa.gz
GCA_050947715.1_ASM5094771v1	GCA_050947715.1_ASM5094771v1	Hanseniaspora uvarum	AWRI5759_A6	F36BCD4C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_050947715.1_ASM5094771v1.fa.gz
GCA_018105805.1_HGU_Huva_B079	GCA_018105805.1_HGU_Huva_B079	Hanseniaspora uvarum	B079	F766C19F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_018105805.1_HGU_Huva_B079.fa.gz
GCA_003243715.1_ASM324371v1	GCA_003243715.1_ASM324371v1	Hanseniaspora uvarum	CBA6001	FA237CB3	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_003243715.1_ASM324371v1.fa.gz
GCA_000968475.1_Huva2.0	GCA_000968475.1_Huva2.0	Hanseniaspora uvarum	DSM 2768	F764C53F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_000968475.1_Huva2.0.fa.gz
GCA_009805785.1_ASM980578v1	GCA_009805785.1_ASM980578v1	Hanseniaspora uvarum	H2	FD21424A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_009805785.1_ASM980578v1.fa.gz
GCA_009805765.1_ASM980576v1	GCA_009805765.1_ASM980576v1	Hanseniaspora uvarum	H20	FC44C047	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_009805765.1_ASM980576v1.fa.gz
GCA_009805715.1_ASM980571v1	GCA_009805715.1_ASM980571v1	Hanseniaspora uvarum	H4	F7CC86BC	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_009805715.1_ASM980571v1.fa.gz
GCA_037102615.1_ASM3710261v1	GCA_037102615.1_ASM3710261v1	Hanseniaspora uvarum	HU-10	F94D46B9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037102615.1_ASM3710261v1.fa.gz
GCA_004919925.1_ASM491992v1	GCA_004919925.1_ASM491992v1	Hanseniaspora uvarum	NRRL Y-1614	FA0CCE05	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_004919925.1_ASM491992v1.fa.gz
GCA_030180015.1_ASM3018001v1	GCA_030180015.1_ASM3018001v1	Hanseniaspora uvarum	QTX-C10	F64D7297	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030180015.1_ASM3018001v1.fa.gz
