out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_020087035.1_ASM2008703v1	GCA_020087035.1_ASM2008703v1	Acremonium sp. FKII-L8-BK-P5	FKII-L8-BK-P5	F6B21F09	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_020087035.1_ASM2008703v1.fa.gz
GCA_028476805.1_ASM2847680v1	GCA_028476805.1_ASM2847680v1	Acrocalymma vagum	A21	F289AF5C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_028476805.1_ASM2847680v1.fa.gz
GCA_058369675.1_ASM5836967v1	GCA_058369675.1_ASM5836967v1	Acrocalymma vagum	DSE3081	F5CF0355	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_058369675.1_ASM5836967v1.fa.gz
GCA_033807595.1_ASM3380759v1	GCA_033807595.1_ASM3380759v1	Acrodontium crateriforme	169a	F1CE3959	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_033807595.1_ASM3380759v1.fa.gz
GCA_016098155.1_UCR_MambBC1055_1.0	GCA_016098155.1_UCR_MambBC1055_1.0	Actinomortierella ambigua	BC1065	F9D4E4C8	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_016098155.1_UCR_MambBC1055_1.0.fa.gz
GCA_015502565.1_UCR_MambBC1291	GCA_015502565.1_UCR_MambBC1291	Actinomortierella ambigua	BC1291	F4317B24	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_015502565.1_UCR_MambBC1291.fa.gz
GCA_015849275.1_UCR_MambNRRL28271_1.0	GCA_015849275.1_UCR_MambNRRL28271_1.0	Actinomortierella ambigua	NRRL 28271	F664D58F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_015849275.1_UCR_MambNRRL28271_1.0.fa.gz
GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0	GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0	Actinomortierella wolfii	NRRL 6351	FAB251FE	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_016098105.1_UCR_MwolfiiNRRL6351_1.0.fa.gz
GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0	GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0	Actinomortierella wolfii	NRRL 66265	F574EFC1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_016098135.1_UCR_MwolfiiNRRL66265_1.0.fa.gz
GCA_026027325.1_ASM2602732v1	GCA_026027325.1_ASM2602732v1	Actinomucor elegans	CJ-6	FD969266	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_026027325.1_ASM2602732v1.fa.gz
